word,translation
Sentirse,to feel
Deber,to owe/should/ought to
Estar,to be
Ponerse,to become
Molestar,to bother/annoy
Un poco,a little
Muy,very
Demasiado/a,too/too much
Contento/a,happy/content
Deprimido/a,depressed
Enfermo/a,sick
Equivocado/a,wrong
Frustrado/a,frustrated
Interesado/a,interested
Ocupado/a,busy
Sorprendido/a,surprised
Cansado/a,tired
Estresado/a,stressed
Enamorado/a,in love
Aburrido/a,boring/bored
Preocupado/a,worried
Borracho/a,drunk
Enojado/a,angry
Nervioso/a,nervous
Avergonzado/a,embarrassed
Alegre,happy
Feliz,happy
Triste,sad
