word,translation
Conocer,to know
Saber,to know
Deber,to owe/should/ought to
Invitar,to invite
El encendedor,the lighter
El cenicero,the ashtray
El cigarro/El cigarrillo,the cigarette
El posavasos,the costar
El hielo,the ice
Elsacacorchos,the corkscrew
El bar,the bar
La barra,the actual bar
El barman,the bartender
Un trago,a shot
Una cerveza,a beer
Una botella,a bottle
Una copa de vino,a glass of wine
Un Martini,a martini
Las aceitunas,olives
La tapa,tapa/bar snack
El ron,rum
El whiskey,whiskey
El vodka,vodka
El brandy,brandy
La ginebra,gin
La sangría,sangria
La sidra,cider
El champán,champaign
