word,translation
El baño,the bathroom
La sala,the living room
El dormitorio,the bedroom
La cocina,the kitchen
El comedor,the dining room
El garaje,the garage
El sótano,the basement
El jardín,the garden
El patio,the patio
El ático,the attic
El apartamento,the apartment
Los quehaceres,chores
Hacer la cama,to make the bed
Tender la cama,to make the bed
Lavar,to wash
Secar,to dry
Los platos,the dishes
Los trastes,the dishes
Aspirar,to vacuum
Poner la mesa,to set the table
Quitar la mesa,to clear the table
Secar la basura,to take out the trash
Regar las plantas,to water the plants
Barrer,to sweep
Trapear,to mop
Fregar,to wash/scrub/mop
Limpiar,to clean
Ordenar el cuarto,to straighten out the room
