word,translation
Amar,to love
Querer,to want/to love
Besar,to kiss
Abrazar,to hug
Enamorarse,to fall in love
Salir (salgo),to go out
Casarse,to get married
Olvidar,to forget
Llamar,to call
Mentir,to lie
Coquetear,to flirt
Poner los cuernos,to cheat
Romper/Terminar con,to break up with
Extrañar,to miss
Llorar,to cry
Hacer el amor,to make love
Soltero/a,single
Casado/a,married
Embarazada,pregnant
Fiel,faithful
Infiel,unfaithful
Cariñoso/a,affectionate/loving
Celoso/a,jealous
El/La novio/a,boyfriend/girlfriend
El amor,love
La pareja,the couple
La cita,the date
La boda,the wedding
La luna de miel,the honeymoon
