word,translation
Saludos,greetings
Hola,hello
Buenos días,good morning
Buenos tardes,good afternoon
Buenos noches,goodnight
Despedidas,goodbyes
Chao,bye
Adiós,goodbye
Hasta luego,see you later
Hasta pronto,see you soon
Hasta mañana,see you tomorrow
Nos vemos,see you later
Prequntas,questions
Cómo está usted,how are you (formal)
Cómo estás,how are you (informal)
Qué tal,how's it going
Qué pasa,what's going on/what's happening
Qué hay de nuevo,what's new
Como se llamó usted,what's your name (formal)
Como te llamas,what's your name (informal)
Cuál es su nombre,what's your name (formal)
Cuál es tu nombre,what's your name (informal)
De donde eres,where are you from (informal)
De donde es usted,where are you from (formal)
Respuestas,answers
Estoy,I am
Bien,well
Mal,bad
Regular,okay
Más o menos,so so/more or less
Nada,nothing
Te llamo,my name is
Mi nombre es,my name is
Soy de,I'm from
Expresiones de cortesía,expressions of courtesy
De presentó a .....,I'd like to introduce you to ..... (informal)
Le presentó a.....,I'd like to introduce you to ..... (formal)
Mucho gusto,nice to meet you
Igualmente,likewise
Gracias,thank you
De nada,you're welcome
No hay de que,you're welcome
Por favor,please
Con permiso,excuse me
Desculpe,I'm sorry (formal)
Desculpa,I'm sorry (informal)
Lo siento,I'm sorry
Perdon,excuse me/pardon me
Salud,bless you/cheers

