word,translation
Anoche,last night
Anteanoche,the night before last
Ayer,yesterday
Anteayer,the day before yesterday
La semana pasada,last week
El mes pasado,last month
El año pasado,last year
El fin de semana pasado,last weekend
Hace ....... días,....... days ago
Hace ....... meses,....... months ago
Hace ....... años,....... years ago
