word,translation
Preparar,to prepare
Cerrar,to close
Apagar,to turn off
Prender,to turn on
Doblar,to turn
Compartir,to share
Tirar,to throw
Prestar,to lend
Sequir,to follow/to continue
Preocuparse,to worry
Esperar,to wait
Ayudar,to help
Cruzar,to cross
Entrar,to enter
Llamar,to call
Pedir,to ask for/request/order
Contestar,to answer
Llegar,to arrive
Subir,to go up
Bajar,to come down/to get off
Mandar,to order
Mostrar,to show
A la Izquierda,to the left
A la Derecha,to the right
Derecho/Recto,straight
La dirección,the address
El mapa,the map
La calle,the road
La avenida,the avenue
La ventana,the window
La luz,the light
La puerta,the door
