word,translation
Los fuegos artificiales,fireworks
El árbol de navidad,Christmas tree
Los desfiles,the parades
Disfrazar,to dress up
Decorar,to decorate
Celebrar,to celebrate
Pasar,to pass/to happen
Divertirse,to have fun
Las vacaciones,vacation
El día de acción de gracias,Thanksgiving
El día de los reyes magos,Three Kings Day
El día de San Valentín,Valentines Day
El día de las madres,Mother's Day
El día de las padres,Father's Day
El día de la independencia,Independence Day
El día de los muertos,Day of the Dead
Las posadas,Nine Day Celebration Before Christmas
La nochebuena,Christmas Eve
La navidad,Christmas
La pascua,Easter
La noche de brujas,Halloween
La nochevieja,New Year's Eve
El año nuevo,New Year's Day
