word,translation
Despertarse,to wake up
Levantarse,to get up
Bañarse,to take a bath
Ducharse,to shower
Cepillarse los dientes,to brush ones teeth
Afeitarse,to shave
Lavarse,to wash oneself
Secarse,to dry oneself
Arreglarse,to get ready
Maquillarse,to put on makeup
Peinarse,to comb ones hair
Vestirse,to get dressed
Ponerse la ropa (Pongo),to put on clothes
Quitarse la ropa,to take off clothes
Acostarse,to go to bed
Dormirse,to fall asleep
Antes de,before
Después de,after
Tarde,late
Temprano,early
