word,translation
El regalo,the present/gift
Los globos,balloons
Los dulces,candy
La tarjeta,the card
La vela,the candle
La invitación,the invitation
El/La invitado/a,the guest
Los quince años,a girl's 15th birthday celebration
La quinceañera,girl celebrating her 15th birthday
La serenata,the serenade
La sorpresa,the surprise
Cumplir años,to turn years
Disfrutar,to enjoy
Pasarlo bien/mal,to have a good/bad time
Cortar,to cut
Soplar,to blow
Invitar,to invite
El bautizo,the baptism
La boda,the wedding
El aniversario,the anniversary
El brindis,the toast
